date,Open,High,Low,price_usd,volume_usd,crypto,source
13-06-2018,6530.0,6627.6,6118.68,6292.78,46185.5181,BTC,Binance CSV
14-06-2018,6292.78,6720.0,6260.0,6635.98,44478.130837,BTC,Binance CSV
15-06-2018,6638.67,6666.66,6362.31,6388.9,30018.329905,BTC,Binance CSV
16-06-2018,6380.01,6560.0,6320.86,6483.98,22277.241147,BTC,Binance CSV
17-06-2018,6482.5,6589.03,6422.0,6449.61,19847.247688,BTC,Binance CSV
18-06-2018,6444.06,6794.38,6380.0,6712.46,31821.434995,BTC,Binance CSV
19-06-2018,6711.39,6841.74,6653.0,6741.21,24311.421143,BTC,Binance CSV
20-06-2018,6740.0,6817.23,6551.81,6761.51,26359.752452,BTC,Binance CSV
21-06-2018,6763.21,6795.0,6672.57,6718.84,25428.854048,BTC,Binance CSV
22-06-2018,6717.69,6733.97,5918.94,6045.0,52157.370833,BTC,Binance CSV
23-06-2018,6045.92,6260.0,6008.48,6149.98,26622.788589,BTC,Binance CSV
24-06-2018,6149.98,6259.8,5750.0,6136.97,47445.998955,BTC,Binance CSV
25-06-2018,6137.95,6350.0,6061.97,6252.0,39164.515306,BTC,Binance CSV
26-06-2018,6252.0,6272.54,6035.0,6070.78,19377.240484,BTC,Binance CSV
27-06-2018,6065.89,6190.43,5971.0,6133.73,19225.671098,BTC,Binance CSV
28-06-2018,6134.73,6173.01,5827.0,5853.98,30585.266026,BTC,Binance CSV
